location_id,metric_id,year,value
12,1,2025,728.0
12,2,2025,15.0
12,3,2025,5.0
12,4,2025,
12,5,2025,142.0
12,6,2025,890.0
12,7,2025,22.9
13,1,2024,454.0
13,2,2024,22.0
13,3,2024,16.0
13,4,2024,1.0
13,5,2024,67.0
13,6,2024,559.0
13,7,2024,19.3
13,1,2025,486.0
13,2,2025,13.0
13,3,2025,17.0
13,4,2025,
13,5,2025,75.0
13,6,2025,591.0
13,7,2025,20.2
14,1,2024,3134.0
14,2,2024,56.0
14,3,2024,29.0
14,4,2024,5.0
14,5,2024,200.0
14,6,2024,3219.0
14,7,2024,15.1
14,1,2025,2698.0
14,2,2025,44.0
14,3,2025,28.0
14,4,2025,4.0
14,5,2025,207.0
14,6,2025,2770.0
14,7,2025,12.9
15,1,2024,1856.0
15,2,2024,67.0
15,3,2024,38.0
15,4,2024,17.0
15,5,2024,598.0
15,6,2024,2559.0
15,7,2024,29.5
15,1,2025,1746.0
15,2,2025,66.0
15,3,2025,33.0
15,4,2025,15.0
15,5,2025,632.0
15,6,2025,2477.0
15,7,2025,28.4
16,1,2024,981.0
16,2,2024,16.0
16,3,2024,8.0
16,4,2024,2.0
16,5,2024,55.0
16,6,2024,1060.0
16,7,2024,25.6
16,1,2025,936.0
16,2,2025,20.0
16,3,2025,9.0
16,4,2025,3.0
16,5,2025,58.0
16,6,2025,1023.0
16,7,2025,24.6
17,1,2024,1663.0
17,2,2024,46.0
17,3,2024,61.0
17,4,2024,2.0
17,5,2024,400.0
17,6,2024,2170.0
17,7,2024,18.4
17,1,2025,1270.0
17,2,2025,44.0
17,3,2025,48.0
17,4,2025,
17,5,2025,482.0
17,6,2025,1844.0
17,7,2025,15.5
18,1,2024,3287.0
18,2,2024,78.0
18,3,2024,31.0
18,4,2024,4.0
18,5,2024,78.0
18,6,2024,3474.0
18,7,2024,36.4
18,1,2025,2970.0
18,2,2025,58.0
18,3,2025,28.0
18,4,2025,5.0
18,5,2025,103.0
18,6,2025,3159.0
18,7,2025,33.0
19,1,2024,626.0
19,2,2024,19.0
19,3,2024,10.0
19,4,2024,4.0
19,5,2024,30.0
19,6,2024,685.0
19,7,2024,20.3
19,1,2025,526.0
19,2,2025,15.0
19,3,2025,9.0
19,4,2025,2.0
19,5,2025,29.0
19,6,2025,579.0
19,7,2025,17.1
20,1,2024,2938.0
20,2,2024,99.0
20,3,2024,69.0
20,4,2024,28.0
20,5,2024,703.0
20,6,2024,3809.0
20,7,2024,22.1
20,1,2025,2949.0
20,2,2025,77.0
20,3,2025,66.0
20,4,2025,51.0
20,5,2025,798.0
20,6,2025,3890.0
20,7,2025,22.6
21,1,2024,655.0
21,2,2024,23.0
21,3,2024,71.0
21,4,2024,1.0
21,5,2024,91.0
21,6,2024,840.0
21,7,2024,24.4
21,1,2025,843.0
21,2,2025,15.0
21,3,2025,12.0
21,4,2025,2.0
21,5,2025,137.0
21,6,2025,1007.0
21,7,2025,29.1
22,1,2024,1491.0
22,2,2024,31.0
22,3,2024,35.0
22,4,2024,5.0
22,5,2024,147.0
22,6,2024,1704.0
22,7,2024,15.2
22,1,2025,1117.0
22,2,2025,30.0
22,3,2025,43.0
22,4,2025,4.0
22,5,2025,76.0
22,6,2025,1266.0
22,7,2025,11.3
23,1,2024,433.0
